agency_id,route_color,route_desc,route_id,route_long_name,route_short_name,route_text_color,route_type,route_url
nmbssncb,016AB3,"",gr:nmbssncb:664,Bruxelles-Midi -- Arlon,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:667,Bruxelles-Midi -- Ostende,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:668,Ostende -- Saint-Nicolas,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:669,Schaerbeek -- Gand-Saint-Pierre,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:67,Ottignies -- Châtelet,L,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:670,Gand-Saint-Pierre -- La Panne,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:671,Schaerbeek -- La Panne,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:672,Louvain -- Ostende,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:673,Welkenraedt -- Ostende,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:674,Schaerbeek -- Ostende,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:675,Louvain -- Blankenberge,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:676,Anvers-Central -- Blankenberge,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:677,Charleroi-Central -- Blankenberge,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:678,Hasselt -- Blankenberge,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:679,Saint-Trond -- Blankenberge,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:68,Luxembourg (LU) -- Arlon,BUS,FFFFFF,3,""
nmbssncb,016AB3,"",gr:nmbssncb:680,Bruxelles-Nord -- Blankenberge,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:681,Bruxelles-Nord -- Liège-Guillemins,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:682,Genk -- Louvain,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:683,Bruxelles-Midi -- Binche,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:684,Anvers-Central -- Saint-Nicolas,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:666,Rochefort-Jemelle -- Marloie,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:685,Anvers-Central -- Boom,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:686,Saint-Ghislain -- Quiévrain,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:687,Malines -- Saint-Nicolas,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:688,Bruxelles-Nord -- Mouscron,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:689,Bruxelles-Nord -- Anvers-Central,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:69,Ettelbruck (LU) -- Gouvy,BUS,FFFFFF,3,""
nmbssncb,016AB3,"",gr:nmbssncb:690,Bruxelles-Nord -- Herentals,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:691,Bruxelles-Nord -- Charleroi-Central,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:692,Bruxelles-Nord -- La Louvière-Sud,EXT,FFFFFF,2,""
