location_type,parent_station,platform_code,stop_code,stop_desc,stop_id,stop_lat,stop_lon,stop_name,stop_url,wheelchair_boarding,zone_id
0,gs:nmbssncb:S8861440,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861440,50.49935,4.80187,Rhisnes,"",,
0,gs:nmbssncb:S8861440,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861440_1,50.49935,4.80187,Rhisnes,"",,
0,gs:nmbssncb:S8861440,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861440_2,50.49935,4.80187,Rhisnes,"",,
0,gs:nmbssncb:S8861440,3,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861440_3,50.49935,4.80187,Rhisnes,"",,
0,gs:nmbssncb:S8861515,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861515,50.59082,4.66854,Ernage,"",,
0,gs:nmbssncb:S8861515,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861515_1,50.59082,4.66854,Ernage,"",,
0,gs:nmbssncb:S8861515,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861515_2,50.59082,4.66854,Ernage,"",,
0,gs:nmbssncb:S8861523,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861523,50.60882,4.648884,Chastre,"",,
0,gs:nmbssncb:S8861523,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861523_1,50.60882,4.648884,Chastre,"",,
0,gs:nmbssncb:S8861523,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861523_2,50.60882,4.648884,Chastre,"",,
0,gs:nmbssncb:S8861531,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861531,50.61945,4.63639,Blanmont,"",,
0,gs:nmbssncb:S8861531,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861531_1,50.61945,4.63639,Blanmont,"",,
0,gs:nmbssncb:S8861531,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861531_2,50.61945,4.63639,Blanmont,"",,
0,gs:nmbssncb:S8861549,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861549,50.637613,4.613883,Mont-Saint-Guibert,"",,
0,gs:nmbssncb:S8861549,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861549_1,50.637613,4.613883,Mont-Saint-Guibert,"",,
0,gs:nmbssncb:S8861549,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861549_2,50.637613,4.613883,Mont-Saint-Guibert,"",,
0,gs:nmbssncb:S8862018,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8862018,49.69094,5.769116,Stockem,"",,
0,gs:nmbssncb:S8862018,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8862018_1,49.69094,5.769116,Stockem,"",,
0,gs:nmbssncb:S8862018,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8862018_2,49.69094,5.769116,Stockem,"",,
0,gs:nmbssncb:S8863008,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8863008,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863008,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863008_1,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863008,10,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863008_10,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863008,11,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863008_11,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863008,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863008_2,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863008,3,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863008_3,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863008,4,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863008_4,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863008,5,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863008_5,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863008,6,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863008_6,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863008,7,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863008_7,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863008,8,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863008_8,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863008,9,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863008_9,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863008,A DETERM,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863008_A DETERM,50.46879,4.86222,Namur,"",,
0,gs:nmbssncb:S8863115,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8863115,50.454846,4.876143,Jambes,"",,
0,gs:nmbssncb:S8863115,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863115_1,50.454846,4.876143,Jambes,"",,
0,gs:nmbssncb:S8863115,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863115_2,50.454846,4.876143,Jambes,"",,
0,gs:nmbssncb:S8863115,3,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863115_3,50.454846,4.876143,Jambes,"",,
0,gs:nmbssncb:S8863156,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8863156,50.369746,4.877468,Lustin,"",,
0,gs:nmbssncb:S8863156,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863156_1,50.369746,4.877468,Lustin,"",,
0,gs:nmbssncb:S8863156,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863156_2,50.369746,4.877468,Lustin,"",,
0,gs:nmbssncb:S8863354,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8863354,50.4548,4.88026,Jambes-Est,"",,
0,gs:nmbssncb:S8863354,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863354_1,50.4548,4.88026,Jambes-Est,"",,
0,gs:nmbssncb:S8863354,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863354_2,50.4548,4.88026,Jambes-Est,"",,
0,gs:nmbssncb:S8863362,"","",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863362,50.429102,4.884417,Dave-Saint-Martin,"",,
0,gs:nmbssncb:S8863362,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863362_1,50.429102,4.884417,Dave-Saint-Martin,"",,
0,gs:nmbssncb:S8863362,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863362_2,50.429102,4.884417,Dave-Saint-Martin,"",,
0,gs:nmbssncb:S8863404,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8863404,50.496764,5.094701,Andenne,"",,
0,gs:nmbssncb:S8863404,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863404_1,50.496764,5.094701,Andenne,"",,
0,gs:nmbssncb:S8863404,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8863404_2,50.496764,5.094701,Andenne,"",,
0,gs:nmbssncb:S8863438,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8863438,50.49721,5.08175,Château-de-Seilles,"",,
